node,tec,vintage,year_all,mode,time,level
R12_PAK,csp_sm3_res3,2015,2035,M1,year,0
R12_PAK,csp_sm3_res3,2015,2040,M1,year,0
R12_PAK,csp_sm3_res3,2020,2020,M1,year,0
R12_PAK,csp_sm3_res3,2020,2025,M1,year,0
R12_PAK,csp_sm3_res3,2020,2030,M1,year,0
R12_PAK,csp_sm3_res3,2020,2035,M1,year,0
R12_PAK,csp_sm3_res3,2020,2040,M1,year,0
R12_PAK,csp_sm3_res3,2020,2045,M1,year,0
R12_PAK,csp_sm3_res3,2025,2025,M1,year,0
R12_PAK,csp_sm3_res3,2025,2030,M1,year,0
R12_PAK,csp_sm3_res3,2025,2035,M1,year,0
R12_PAK,csp_sm3_res3,2025,2040,M1,year,0
R12_PAK,csp_sm3_res3,2025,2045,M1,year,0
R12_PAK,csp_sm3_res3,2025,2050,M1,year,0
R12_PAK,csp_sm3_res3,2030,2030,M1,year,0
R12_PAK,csp_sm3_res3,2030,2035,M1,year,0
R12_PAK,csp_sm3_res3,2030,2040,M1,year,0
R12_PAK,csp_sm3_res3,2030,2045,M1,year,0
R12_PAK,csp_sm3_res3,2030,2050,M1,year,0
R12_PAK,csp_sm3_res3,2030,2055,M1,year,0
R12_PAK,csp_sm3_res3,2035,2035,M1,year,0
R12_PAK,csp_sm3_res3,2035,2040,M1,year,0
R12_PAK,csp_sm3_res3,2035,2045,M1,year,0
R12_PAK,csp_sm3_res3,2035,2050,M1,year,0
R12_PAK,csp_sm3_res3,2035,2055,M1,year,0
R12_PAK,csp_sm3_res3,2035,2060,M1,year,0
R12_PAK,csp_sm3_res3,2040,2040,M1,year,0
R12_PAK,csp_sm3_res3,2040,2045,M1,year,0
R12_PAK,csp_sm3_res3,2040,2050,M1,year,0
R12_PAK,csp_sm3_res3,2040,2055,M1,year,0
R12_PAK,csp_sm3_res3,2040,2060,M1,year,0
R12_PAK,csp_sm3_res3,2040,2070,M1,year,0
R12_PAK,csp_sm3_res3,2045,2045,M1,year,0
R12_PAK,csp_sm3_res3,2045,2050,M1,year,0
R12_PAK,csp_sm3_res3,2045,2055,M1,year,0
R12_PAK,csp_sm3_res3,2045,2060,M1,year,0
R12_PAK,csp_sm3_res3,2045,2070,M1,year,0
R12_PAK,csp_sm3_res3,2050,2050,M1,year,0
R12_PAK,csp_sm3_res3,2050,2055,M1,year,0
R12_PAK,csp_sm3_res3,2050,2060,M1,year,0
R12_PAK,csp_sm3_res3,2050,2070,M1,year,0
R12_PAK,csp_sm3_res3,2055,2055,M1,year,0
R12_PAK,csp_sm3_res3,2055,2060,M1,year,0
R12_PAK,csp_sm3_res3,2055,2070,M1,year,0
R12_PAK,csp_sm3_res3,2060,2060,M1,year,0
R12_PAK,csp_sm3_res3,2060,2070,M1,year,0
R12_PAK,csp_sm3_res3,2070,2070,M1,year,0
R12_PAK,csp_sm3_res4,2005,2005,M1,year,0
R12_PAK,csp_sm3_res4,2005,2010,M1,year,0
R12_PAK,csp_sm3_res4,2005,2015,M1,year,0
R12_PAK,csp_sm3_res4,2005,2020,M1,year,0
R12_PAK,csp_sm3_res4,2005,2025,M1,year,0
R12_PAK,csp_sm3_res4,2005,2030,M1,year,0
R12_PAK,csp_sm3_res4,2010,2010,M1,year,0
R12_PAK,csp_sm3_res4,2010,2015,M1,year,0
R12_PAK,csp_sm3_res4,2010,2020,M1,year,0
R12_PAK,csp_sm3_res4,2010,2025,M1,year,0
R12_PAK,csp_sm3_res4,2010,2030,M1,year,0
R12_PAK,csp_sm3_res4,2010,2035,M1,year,0
R12_PAK,csp_sm3_res4,2015,2015,M1,year,0
R12_PAK,csp_sm3_res4,2015,2020,M1,year,0
R12_PAK,csp_sm3_res4,2015,2025,M1,year,0
R12_PAK,csp_sm3_res4,2015,2030,M1,year,0
R12_PAK,csp_sm3_res4,2015,2035,M1,year,0
R12_PAK,csp_sm3_res4,2015,2040,M1,year,0
R12_PAK,csp_sm3_res4,2020,2020,M1,year,0
R12_PAK,csp_sm3_res4,2020,2025,M1,year,0
R12_PAK,csp_sm3_res4,2020,2030,M1,year,0
R12_PAK,csp_sm3_res4,2020,2035,M1,year,0
R12_PAK,csp_sm3_res4,2020,2040,M1,year,0
R12_PAK,csp_sm3_res4,2020,2045,M1,year,0
R12_PAK,csp_sm3_res4,2025,2025,M1,year,0
R12_PAK,csp_sm3_res4,2025,2030,M1,year,0
R12_PAK,csp_sm3_res4,2025,2035,M1,year,0
R12_PAK,csp_sm3_res4,2025,2040,M1,year,0
R12_PAK,csp_sm3_res4,2025,2045,M1,year,0
R12_PAK,csp_sm3_res4,2025,2050,M1,year,0
R12_PAK,csp_sm3_res4,2030,2030,M1,year,0
R12_PAK,csp_sm3_res4,2030,2035,M1,year,0
R12_PAK,csp_sm3_res4,2030,2040,M1,year,0
R12_PAK,csp_sm3_res4,2030,2045,M1,year,0
R12_PAK,csp_sm3_res4,2030,2050,M1,year,0
R12_PAK,csp_sm3_res4,2030,2055,M1,year,0
R12_PAK,csp_sm3_res4,2035,2035,M1,year,0
R12_PAK,csp_sm3_res4,2035,2040,M1,year,0
R12_PAK,csp_sm3_res4,2035,2045,M1,year,0
R12_PAK,csp_sm3_res4,2035,2050,M1,year,0
R12_PAK,csp_sm3_res4,2035,2055,M1,year,0
R12_PAK,csp_sm3_res4,2035,2060,M1,year,0
R12_PAK,csp_sm3_res4,2040,2040,M1,year,0
R12_PAK,csp_sm3_res4,2040,2045,M1,year,0
R12_PAK,csp_sm3_res4,2040,2050,M1,year,0
R12_PAK,csp_sm3_res4,2040,2055,M1,year,0
R12_PAK,csp_sm3_res4,2040,2060,M1,year,0
R12_PAK,csp_sm3_res4,2040,2070,M1,year,0
R12_PAK,csp_sm3_res4,2045,2045,M1,year,0
R12_PAK,csp_sm3_res4,2045,2050,M1,year,0
R12_PAK,csp_sm3_res4,2045,2055,M1,year,0
R12_PAK,csp_sm3_res4,2045,2060,M1,year,0
R12_PAK,csp_sm3_res4,2045,2070,M1,year,0
R12_PAK,csp_sm3_res4,2050,2050,M1,year,0
R12_PAK,csp_sm3_res4,2050,2055,M1,year,0
R12_PAK,csp_sm3_res4,2050,2060,M1,year,0
R12_PAK,csp_sm3_res4,2050,2070,M1,year,0
R12_PAK,csp_sm3_res4,2055,2055,M1,year,0
R12_PAK,csp_sm3_res4,2055,2060,M1,year,0
R12_PAK,csp_sm3_res4,2055,2070,M1,year,0
R12_PAK,csp_sm3_res4,2060,2060,M1,year,0
R12_PAK,csp_sm3_res4,2060,2070,M1,year,0
R12_PAK,csp_sm3_res4,2070,2070,M1,year,0
R12_PAK,csp_sm3_res5,2005,2005,M1,year,0
R12_PAK,csp_sm3_res5,2005,2010,M1,year,0
R12_PAK,csp_sm3_res5,2005,2015,M1,year,0
R12_PAK,csp_sm3_res5,2005,2020,M1,year,0
R12_PAK,csp_sm3_res5,2005,2025,M1,year,0
R12_PAK,csp_sm3_res5,2005,2030,M1,year,0
R12_PAK,csp_sm3_res5,2010,2010,M1,year,0
R12_PAK,csp_sm3_res5,2010,2015,M1,year,0
R12_PAK,csp_sm3_res5,2010,2020,M1,year,0
R12_PAK,csp_sm3_res5,2010,2025,M1,year,0
R12_PAK,csp_sm3_res5,2010,2030,M1,year,0
R12_PAK,csp_sm3_res5,2010,2035,M1,year,0
R12_PAK,csp_sm3_res5,2015,2015,M1,year,0
R12_PAK,csp_sm3_res5,2015,2020,M1,year,0
R12_PAK,csp_sm3_res5,2015,2025,M1,year,0
R12_PAK,csp_sm3_res5,2015,2030,M1,year,0
R12_PAK,csp_sm3_res5,2015,2035,M1,year,0
R12_PAK,csp_sm3_res5,2015,2040,M1,year,0
R12_PAK,csp_sm3_res5,2020,2020,M1,year,0
R12_PAK,csp_sm3_res5,2020,2025,M1,year,0
R12_PAK,csp_sm3_res5,2020,2030,M1,year,0
R12_PAK,csp_sm3_res5,2020,2035,M1,year,0
R12_PAK,csp_sm3_res5,2020,2040,M1,year,0
R12_PAK,csp_sm3_res5,2020,2045,M1,year,0
R12_PAK,csp_sm3_res5,2025,2025,M1,year,0
R12_PAK,csp_sm3_res5,2025,2030,M1,year,0
R12_PAK,csp_sm3_res5,2025,2035,M1,year,0
R12_PAK,csp_sm3_res5,2025,2040,M1,year,0
R12_PAK,csp_sm3_res5,2025,2045,M1,year,0
R12_PAK,csp_sm3_res5,2025,2050,M1,year,0
R12_PAK,csp_sm3_res5,2030,2030,M1,year,0
R12_PAK,csp_sm3_res5,2030,2035,M1,year,0
R12_PAK,csp_sm3_res5,2030,2040,M1,year,0
R12_PAK,csp_sm3_res5,2030,2045,M1,year,0
R12_PAK,csp_sm3_res5,2030,2050,M1,year,0
R12_PAK,csp_sm3_res5,2030,2055,M1,year,0
R12_PAK,csp_sm3_res5,2035,2035,M1,year,0
R12_PAK,csp_sm3_res5,2035,2040,M1,year,0
R12_PAK,csp_sm3_res5,2035,2045,M1,year,0
R12_PAK,csp_sm3_res5,2035,2050,M1,year,0
R12_PAK,csp_sm3_res5,2035,2055,M1,year,0
R12_PAK,csp_sm3_res5,2035,2060,M1,year,0
R12_PAK,csp_sm3_res5,2040,2040,M1,year,0
R12_PAK,csp_sm3_res5,2040,2045,M1,year,0
R12_PAK,csp_sm3_res5,2040,2050,M1,year,0
R12_PAK,csp_sm3_res5,2040,2055,M1,year,0
R12_PAK,csp_sm3_res5,2040,2060,M1,year,0
R12_PAK,csp_sm3_res5,2040,2070,M1,year,0
R12_PAK,csp_sm3_res5,2045,2045,M1,year,0
R12_PAK,csp_sm3_res5,2045,2050,M1,year,0
R12_PAK,csp_sm3_res5,2045,2055,M1,year,0
R12_PAK,csp_sm3_res5,2045,2060,M1,year,0
R12_PAK,csp_sm3_res5,2045,2070,M1,year,0
R12_PAK,csp_sm3_res5,2050,2050,M1,year,0
R12_PAK,csp_sm3_res5,2050,2055,M1,year,0
R12_PAK,csp_sm3_res5,2050,2060,M1,year,0
R12_PAK,csp_sm3_res5,2050,2070,M1,year,0
R12_PAK,csp_sm3_res5,2055,2055,M1,year,0
R12_PAK,csp_sm3_res5,2055,2060,M1,year,0
R12_PAK,csp_sm3_res5,2055,2070,M1,year,0
R12_PAK,csp_sm3_res5,2060,2060,M1,year,0
R12_PAK,csp_sm3_res5,2060,2070,M1,year,0
R12_PAK,csp_sm3_res5,2070,2070,M1,year,0
R12_PAK,csp_sm3_res6,2005,2005,M1,year,0
R12_PAK,csp_sm3_res6,2005,2010,M1,year,0
R12_PAK,csp_sm3_res6,2005,2015,M1,year,0
R12_PAK,csp_sm3_res6,2005,2020,M1,year,0
R12_PAK,csp_sm3_res6,2005,2025,M1,year,0
R12_PAK,csp_sm3_res6,2005,2030,M1,year,0
R12_PAK,csp_sm3_res6,2010,2010,M1,year,0
R12_PAK,csp_sm3_res6,2010,2015,M1,year,0
R12_PAK,csp_sm3_res6,2010,2020,M1,year,0
R12_PAK,csp_sm3_res6,2010,2025,M1,year,0
R12_PAK,csp_sm3_res6,2010,2030,M1,year,0
R12_PAK,csp_sm3_res6,2010,2035,M1,year,0
R12_PAK,csp_sm3_res6,2015,2015,M1,year,0
R12_PAK,csp_sm3_res6,2015,2020,M1,year,0
R12_PAK,csp_sm3_res6,2015,2025,M1,year,0
R12_PAK,csp_sm3_res6,2015,2030,M1,year,0
R12_PAK,csp_sm3_res6,2015,2035,M1,year,0
R12_PAK,csp_sm3_res6,2015,2040,M1,year,0
R12_PAK,csp_sm3_res6,2020,2020,M1,year,0
R12_PAK,csp_sm3_res6,2020,2025,M1,year,0
R12_PAK,csp_sm3_res6,2020,2030,M1,year,0
R12_PAK,csp_sm3_res6,2020,2035,M1,year,0
R12_PAK,csp_sm3_res6,2020,2040,M1,year,0
R12_PAK,csp_sm3_res6,2020,2045,M1,year,0
R12_PAK,csp_sm3_res6,2025,2025,M1,year,0
R12_PAK,csp_sm3_res6,2025,2030,M1,year,0
R12_PAK,csp_sm3_res6,2025,2035,M1,year,0
R12_PAK,csp_sm3_res6,2025,2040,M1,year,0
R12_PAK,csp_sm3_res6,2025,2045,M1,year,0
R12_PAK,csp_sm3_res6,2025,2050,M1,year,0
R12_PAK,csp_sm3_res6,2030,2030,M1,year,0
R12_PAK,csp_sm3_res6,2030,2035,M1,year,0
R12_PAK,csp_sm3_res6,2030,2040,M1,year,0
R12_PAK,csp_sm3_res6,2030,2045,M1,year,0
R12_PAK,csp_sm3_res6,2030,2050,M1,year,0
R12_PAK,csp_sm3_res6,2030,2055,M1,year,0
R12_PAK,csp_sm3_res6,2035,2035,M1,year,0
R12_PAK,csp_sm3_res6,2035,2040,M1,year,0
R12_PAK,csp_sm3_res6,2035,2045,M1,year,0
R12_PAK,csp_sm3_res6,2035,2050,M1,year,0
R12_PAK,csp_sm3_res6,2035,2055,M1,year,0
R12_PAK,csp_sm3_res6,2035,2060,M1,year,0
R12_PAK,csp_sm3_res6,2040,2040,M1,year,0
R12_PAK,csp_sm3_res6,2040,2045,M1,year,0
R12_PAK,csp_sm3_res6,2040,2050,M1,year,0
R12_PAK,csp_sm3_res6,2040,2055,M1,year,0
R12_PAK,csp_sm3_res6,2040,2060,M1,year,0
R12_PAK,csp_sm3_res6,2040,2070,M1,year,0
R12_PAK,csp_sm3_res6,2045,2045,M1,year,0
R12_PAK,csp_sm3_res6,2045,2050,M1,year,0
R12_PAK,csp_sm3_res6,2045,2055,M1,year,0
R12_PAK,csp_sm3_res6,2045,2060,M1,year,0
R12_PAK,csp_sm3_res6,2045,2070,M1,year,0
R12_PAK,csp_sm3_res6,2050,2050,M1,year,0
R12_PAK,csp_sm3_res6,2050,2055,M1,year,0
R12_PAK,csp_sm3_res6,2050,2060,M1,year,0
R12_PAK,csp_sm3_res6,2050,2070,M1,year,0
R12_PAK,csp_sm3_res6,2055,2055,M1,year,0
R12_PAK,csp_sm3_res6,2055,2060,M1,year,0
R12_PAK,csp_sm3_res6,2055,2070,M1,year,0
R12_PAK,csp_sm3_res6,2060,2060,M1,year,0
R12_PAK,csp_sm3_res6,2060,2070,M1,year,0
R12_PAK,csp_sm3_res6,2070,2070,M1,year,0
R12_PAK,csp_sm3_res7,2005,2005,M1,year,0
R12_PAK,csp_sm3_res7,2005,2010,M1,year,0
R12_PAK,csp_sm3_res7,2005,2015,M1,year,0
R12_PAK,csp_sm3_res7,2005,2020,M1,year,0
R12_PAK,csp_sm3_res7,2005,2025,M1,year,0
R12_PAK,csp_sm3_res7,2005,2030,M1,year,0
R12_PAK,csp_sm3_res7,2010,2010,M1,year,0
R12_PAK,csp_sm3_res7,2010,2015,M1,year,0
R12_PAK,csp_sm3_res7,2010,2020,M1,year,0
R12_PAK,csp_sm3_res7,2010,2025,M1,year,0
R12_PAK,csp_sm3_res7,2010,2030,M1,year,0
R12_PAK,csp_sm3_res7,2010,2035,M1,year,0
R12_PAK,csp_sm3_res7,2015,2015,M1,year,0
R12_PAK,csp_sm3_res7,2015,2020,M1,year,0
R12_PAK,csp_sm3_res7,2015,2025,M1,year,0
R12_PAK,csp_sm3_res7,2015,2030,M1,year,0
R12_PAK,csp_sm3_res7,2015,2035,M1,year,0
R12_PAK,csp_sm3_res7,2015,2040,M1,year,0
R12_PAK,csp_sm3_res7,2020,2020,M1,year,0
R12_PAK,csp_sm3_res7,2020,2025,M1,year,0
R12_PAK,csp_sm3_res7,2020,2030,M1,year,0
R12_PAK,csp_sm3_res7,2020,2035,M1,year,0
R12_PAK,csp_sm3_res7,2020,2040,M1,year,0
R12_PAK,csp_sm3_res7,2020,2045,M1,year,0
R12_PAK,csp_sm3_res7,2025,2025,M1,year,0
R12_PAK,csp_sm3_res7,2025,2030,M1,year,0
R12_PAK,csp_sm3_res7,2025,2035,M1,year,0
R12_PAK,csp_sm3_res7,2025,2040,M1,year,0
R12_PAK,csp_sm3_res7,2025,2045,M1,year,0
R12_PAK,csp_sm3_res7,2025,2050,M1,year,0
R12_PAK,csp_sm3_res7,2030,2030,M1,year,0
R12_PAK,csp_sm3_res7,2030,2035,M1,year,0
R12_PAK,csp_sm3_res7,2030,2040,M1,year,0
R12_PAK,csp_sm3_res7,2030,2045,M1,year,0
R12_PAK,csp_sm3_res7,2030,2050,M1,year,0
R12_PAK,csp_sm3_res7,2030,2055,M1,year,0
R12_PAK,csp_sm3_res7,2035,2035,M1,year,0
R12_PAK,csp_sm3_res7,2035,2040,M1,year,0
R12_PAK,csp_sm3_res7,2035,2045,M1,year,0
R12_PAK,csp_sm3_res7,2035,2050,M1,year,0
R12_PAK,csp_sm3_res7,2035,2055,M1,year,0
R12_PAK,csp_sm3_res7,2035,2060,M1,year,0
R12_PAK,csp_sm3_res7,2040,2040,M1,year,0
R12_PAK,csp_sm3_res7,2040,2045,M1,year,0
R12_PAK,csp_sm3_res7,2040,2050,M1,year,0
R12_PAK,csp_sm3_res7,2040,2055,M1,year,0
R12_PAK,csp_sm3_res7,2040,2060,M1,year,0
R12_PAK,csp_sm3_res7,2040,2070,M1,year,0
R12_PAK,csp_sm3_res7,2045,2045,M1,year,0
R12_PAK,csp_sm3_res7,2045,2050,M1,year,0
R12_PAK,csp_sm3_res7,2045,2055,M1,year,0
R12_PAK,csp_sm3_res7,2045,2060,M1,year,0
R12_PAK,csp_sm3_res7,2045,2070,M1,year,0
R12_PAK,csp_sm3_res7,2050,2050,M1,year,0
R12_PAK,csp_sm3_res7,2050,2055,M1,year,0
R12_PAK,csp_sm3_res7,2050,2060,M1,year,0
R12_PAK,csp_sm3_res7,2050,2070,M1,year,0
R12_PAK,csp_sm3_res7,2055,2055,M1,year,0
R12_PAK,csp_sm3_res7,2055,2060,M1,year,0
R12_PAK,csp_sm3_res7,2055,2070,M1,year,0
R12_PAK,csp_sm3_res7,2060,2060,M1,year,0
R12_PAK,csp_sm3_res7,2060,2070,M1,year,0
R12_PAK,csp_sm3_res7,2070,2070,M1,year,0
R12_PAK,hydro_hc,2020,2040,M1,year,1.30573
R12_PAK,hydro_hc,2020,2045,M1,year,1.30573
R12_PAK,hydro_hc,2020,2050,M1,year,1.30573
R12_PAK,hydro_hc,2020,2055,M1,year,1.30573
R12_PAK,hydro_hc,2020,2060,M1,year,1.30573
R12_PAK,hydro_hc,2020,2070,M1,year,1.30573
R12_PAK,hydro_hc,2020,2035,M1,year,1.24418
R12_PAK,hydro_hc,2020,2030,M1,year,1.18262
R12_PAK,hydro_hc,2020,2025,M1,year,1.12107
R12_PAK,hydro_hc,1995,2040,M1,year,0.951913
R12_PAK,hydro_hc,1995,2045,M1,year,0.951913
R12_PAK,hydro_hc,1995,2050,M1,year,0.951913
R12_PAK,hydro_hc,2055,2055,M1,year,0.951913
R12_PAK,hydro_hc,2055,2060,M1,year,0.951913
R12_PAK,hydro_hc,2055,2070,M1,year,0.951913
R12_PAK,hydro_hc,1995,2035,M1,year,0.90704
R12_PAK,hydro_hc,1995,2030,M1,year,0.862167
R12_PAK,hydro_hc,1995,2025,M1,year,0.817294
R12_PAK,hydro_hc,2070,2070,M1,year,0.782678
R12_PAK,hydro_hc,1985,2040,M1,year,0.755408
R12_PAK,hydro_hc,2045,2045,M1,year,0.755408
R12_PAK,hydro_hc,2045,2050,M1,year,0.755408
R12_PAK,hydro_hc,2045,2055,M1,year,0.755408
R12_PAK,hydro_hc,2045,2060,M1,year,0.755408
R12_PAK,hydro_hc,2045,2070,M1,year,0.755408
R12_PAK,hydro_hc,2005,2040,M1,year,0.75078
R12_PAK,hydro_hc,2005,2045,M1,year,0.75078
R12_PAK,hydro_hc,2005,2050,M1,year,0.75078
R12_PAK,hydro_hc,2005,2055,M1,year,0.75078
R12_PAK,hydro_hc,2005,2060,M1,year,0.75078
R12_PAK,hydro_hc,1985,2035,M1,year,0.719798
R12_PAK,hydro_hc,2005,2035,M1,year,0.715389
R12_PAK,hydro_hc,1985,2030,M1,year,0.684188
R12_PAK,hydro_hc,2005,2030,M1,year,0.679997
R12_PAK,hydro_hc,1985,2025,M1,year,0.648578
R12_PAK,hydro_hc,2005,2025,M1,year,0.644605
R12_PAK,hydro_hc,2025,2040,M1,year,0.617792
R12_PAK,hydro_hc,2025,2045,M1,year,0.617792
R12_PAK,hydro_hc,2025,2050,M1,year,0.617792
R12_PAK,hydro_hc,2025,2055,M1,year,0.617792
R12_PAK,hydro_hc,2025,2060,M1,year,0.617792
R12_PAK,hydro_hc,2025,2070,M1,year,0.617792
R12_PAK,hydro_hc,2025,2035,M1,year,0.588669
R12_PAK,hydro_hc,2025,2030,M1,year,0.559547
R12_PAK,hydro_hc,2025,2025,M1,year,0.530424
R12_PAK,hydro_hc,1980,2030,M1,year,0.402464
R12_PAK,hydro_hc,1980,2025,M1,year,0.381517
R12_PAK,hydro_hc,1980,2035,M1,year,0.217605
R12_PAK,hydro_hc,2015,2040,M1,year,0.148525
R12_PAK,hydro_hc,2015,2045,M1,year,0.148525
R12_PAK,hydro_hc,2015,2050,M1,year,0.148525
R12_PAK,hydro_hc,2015,2055,M1,year,0.148525
R12_PAK,hydro_hc,2015,2060,M1,year,0.148525
R12_PAK,hydro_hc,2015,2070,M1,year,0.148525
R12_PAK,hydro_hc,2015,2035,M1,year,0.141523
R12_PAK,hydro_hc,2015,2030,M1,year,0.134522
R12_PAK,hydro_hc,2015,2025,M1,year,0.12752
R12_PAK,hydro_hc,1960,2025,M1,year,0.0678252
R12_PAK,hydro_hc,2010,2040,M1,year,0.0637952
R12_PAK,hydro_hc,2010,2045,M1,year,0.0637952
R12_PAK,hydro_hc,2010,2050,M1,year,0.0637952
R12_PAK,hydro_hc,2010,2055,M1,year,0.0637952
R12_PAK,hydro_hc,2010,2060,M1,year,0.0637952
R12_PAK,hydro_hc,2010,2035,M1,year,0.0607879
R12_PAK,hydro_hc,2010,2030,M1,year,0.0577806
R12_PAK,hydro_hc,2010,2025,M1,year,0.0547733
R12_PAK,hydro_hc,2010,2070,M1,year,0.0318976
R12_PAK,hydro_hc,2000,2040,M1,year,0.0222179
R12_PAK,hydro_hc,2000,2045,M1,year,0.0222179
R12_PAK,hydro_hc,2000,2050,M1,year,0.0222179
R12_PAK,hydro_hc,2000,2055,M1,year,0.0222179
R12_PAK,hydro_hc,2060,2060,M1,year,0.0222179
R12_PAK,hydro_hc,2060,2070,M1,year,0.0222179
R12_PAK,hydro_hc,2000,2035,M1,year,0.0211705
R12_PAK,hydro_hc,2000,2030,M1,year,0.0201232
R12_PAK,hydro_hc,2000,2025,M1,year,0.0190758
R12_PAK,hydro_hc,1960,1960,M1,year,0
R12_PAK,hydro_hc,1960,1965,M1,year,0
R12_PAK,hydro_hc,1960,1970,M1,year,0
R12_PAK,hydro_hc,1960,1975,M1,year,0
R12_PAK,hydro_hc,1960,1980,M1,year,0
R12_PAK,hydro_hc,1960,1985,M1,year,0
R12_PAK,hydro_hc,1960,1990,M1,year,0
R12_PAK,hydro_hc,1960,1995,M1,year,0
R12_PAK,hydro_hc,1960,2000,M1,year,0
R12_PAK,hydro_hc,1960,2005,M1,year,0
R12_PAK,hydro_hc,1960,2010,M1,year,0
R12_PAK,hydro_hc,1960,2015,M1,year,0
R12_PAK,hydro_hc,1960,2020,M1,year,0
R12_PAK,hydro_hc,1965,1965,M1,year,0
R12_PAK,hydro_hc,1965,1970,M1,year,0
R12_PAK,hydro_hc,1965,1975,M1,year,0
R12_PAK,hydro_hc,1965,1980,M1,year,0
R12_PAK,hydro_hc,1965,1985,M1,year,0
R12_PAK,hydro_hc,1965,1990,M1,year,0
R12_PAK,hydro_hc,1965,1995,M1,year,0
R12_PAK,hydro_hc,1965,2000,M1,year,0
R12_PAK,hydro_hc,1965,2005,M1,year,0
R12_PAK,hydro_hc,1965,2010,M1,year,0
R12_PAK,hydro_hc,1965,2015,M1,year,0
R12_PAK,hydro_hc,1965,2020,M1,year,0
R12_PAK,hydro_hc,1965,2025,M1,year,0
R12_PAK,hydro_hc,1970,1970,M1,year,0
R12_PAK,hydro_hc,1970,1975,M1,year,0
R12_PAK,hydro_hc,1970,1980,M1,year,0
R12_PAK,hydro_hc,1970,1985,M1,year,0
R12_PAK,hydro_hc,1970,1990,M1,year,0
R12_PAK,hydro_hc,1970,1995,M1,year,0
R12_PAK,hydro_hc,1970,2000,M1,year,0
R12_PAK,hydro_hc,1970,2005,M1,year,0
R12_PAK,hydro_hc,1970,2010,M1,year,0
R12_PAK,hydro_hc,1970,2015,M1,year,0
R12_PAK,hydro_hc,1970,2020,M1,year,0
R12_PAK,hydro_hc,1970,2025,M1,year,0
R12_PAK,hydro_hc,1970,2030,M1,year,0
R12_PAK,hydro_hc,1975,1975,M1,year,0
R12_PAK,hydro_hc,1975,1980,M1,year,0
R12_PAK,hydro_hc,1975,1985,M1,year,0
R12_PAK,hydro_hc,1975,1990,M1,year,0
R12_PAK,hydro_hc,1975,1995,M1,year,0
R12_PAK,hydro_hc,1975,2000,M1,year,0
R12_PAK,hydro_hc,1975,2005,M1,year,0
R12_PAK,hydro_hc,1975,2010,M1,year,0
R12_PAK,hydro_hc,1975,2015,M1,year,0
R12_PAK,hydro_hc,1975,2020,M1,year,0
R12_PAK,hydro_hc,1975,2025,M1,year,0
R12_PAK,hydro_hc,1975,2030,M1,year,0
R12_PAK,hydro_hc,1980,1980,M1,year,0
R12_PAK,hydro_hc,1980,1985,M1,year,0
R12_PAK,hydro_hc,1980,1990,M1,year,0
R12_PAK,hydro_hc,1980,1995,M1,year,0
R12_PAK,hydro_hc,1980,2000,M1,year,0
R12_PAK,hydro_hc,1980,2005,M1,year,0
R12_PAK,hydro_hc,1980,2010,M1,year,0
R12_PAK,hydro_hc,1980,2015,M1,year,0
R12_PAK,hydro_hc,1980,2020,M1,year,0
R12_PAK,hydro_hc,1985,1985,M1,year,0
R12_PAK,hydro_hc,1985,1990,M1,year,0
R12_PAK,hydro_hc,1985,1995,M1,year,0
R12_PAK,hydro_hc,1985,2000,M1,year,0
R12_PAK,hydro_hc,1985,2005,M1,year,0
R12_PAK,hydro_hc,1985,2010,M1,year,0
R12_PAK,hydro_hc,1985,2015,M1,year,0
R12_PAK,hydro_hc,1985,2020,M1,year,0
R12_PAK,hydro_hc,1990,1990,M1,year,0
R12_PAK,hydro_hc,1990,1995,M1,year,0
R12_PAK,hydro_hc,1990,2000,M1,year,0
R12_PAK,hydro_hc,1990,2005,M1,year,0
R12_PAK,hydro_hc,1990,2010,M1,year,0
R12_PAK,hydro_hc,1990,2015,M1,year,0
R12_PAK,hydro_hc,1990,2020,M1,year,0
R12_PAK,hydro_hc,1990,2025,M1,year,0
R12_PAK,hydro_hc,1990,2030,M1,year,0
R12_PAK,hydro_hc,1990,2035,M1,year,0
R12_PAK,hydro_hc,1990,2040,M1,year,0
R12_PAK,hydro_hc,1990,2045,M1,year,0
R12_PAK,hydro_hc,1995,1995,M1,year,0
R12_PAK,hydro_hc,1995,2000,M1,year,0
R12_PAK,hydro_hc,1995,2005,M1,year,0
R12_PAK,hydro_hc,1995,2010,M1,year,0
R12_PAK,hydro_hc,1995,2015,M1,year,0
R12_PAK,hydro_hc,1995,2020,M1,year,0
R12_PAK,hydro_hc,2000,2000,M1,year,0
R12_PAK,hydro_hc,2000,2005,M1,year,0
R12_PAK,hydro_hc,2000,2010,M1,year,0
R12_PAK,hydro_hc,2000,2015,M1,year,0
R12_PAK,hydro_hc,2000,2020,M1,year,0
R12_PAK,hydro_hc,2005,2005,M1,year,0
R12_PAK,hydro_hc,2005,2010,M1,year,0
R12_PAK,hydro_hc,2005,2015,M1,year,0
R12_PAK,hydro_hc,2005,2020,M1,year,0
R12_PAK,hydro_hc,2010,2010,M1,year,0
R12_PAK,hydro_hc,2010,2015,M1,year,0
R12_PAK,hydro_hc,2010,2020,M1,year,0
R12_PAK,hydro_hc,2015,2015,M1,year,0
R12_PAK,hydro_hc,2015,2020,M1,year,0
